435,554,435,553,431,550,431,550,427,549
425,507,509,421,543,434,516,427,527,429
418,522,424,512,416,525,412,525,411,434
496,437,474,426,522,396,523,390,523,423
481,404,459,523,378,519,380,519,391,384
499,377,506,379,506,374,504,468,416,449
437,450,424,429,453,410,425,502,357,498
359,500,369,482,366,479,483,358,474,371
482,355,485,351,484,351,484,346,488,342
482,390,427,381,456,406,337,481,338,473
334,464,348,470,347,343,461,346,447,339
467,333,469,328,467,329,466,370,363,468
322,468,321,467,318,464,318,452,335,321
453,330,439,324,443,331,431,361,436,338
424,357,389,353,401,375,380,409,394,306
452,304,447,303,448,305,443,308,445,315
434,311,438,312,321,416,334,383,323,404
341,386,372,397,295,441,292,438,294,405
324,421,329,293,429,296,421,293,426,298
425,295,424,399,321,387,307,430,289,430
285,427,329,376,325,407,331,387,300,407
297,401,416,285,411,294,416,288,415,285
417,286,316,374,327,387,277,420,276,421
276,375,312,398,291,366,416,273,412,271
402,285,407,278,405,282,291,378,312,391
274,412,270,415,271,344,319,366,340,265
414,266,406,264,411,278,399,275,394,394
275,388,270,401,270,404,267,403,268,327
339,341,363,261,407,259,404,258,405,259
403,262,404,272,392,269,395,272,392,380
280,391,264,399,262,402,263,311,331,331
313,306,404,256,403,256,379,283,386,271
351,391,262,383,270,389,264,384,281,359
263,395,258,397,255,396,257,345,300,307
399,252,398,254,399,270,382,266,386,269
256,386,263,367,257,390,257,391,259,283
351,314,305,291,396,249,396,248,395,270
365,267,380,266,374,383,256,386,252,385
259,387,259,280,353,301,346,270,392,250
393,252,333,292,351,293,342,286,356,267
368,274,250,383,253,369,249,383,253,385
253,383,351,295,343,317,356,245,391,243
390,293,348,263,372,286,245,387,246,380
245,378,254,380,258,254,361,265,344,261
385,246,386,242,385,310,327,277,357,308
241,387,244,389,241,376,257,378,258,251
375,260,357,255,367,265,357,281,359,245
385,242,389,242,388,240,389,239,389,239
387,242,380,240,383,242,377,249,383,251
377,249,381,251,264,346,292,311,278,333
